"DOMAIN 1: Ease of Regulatory Clarity, Predictability & Accessibility",,Andhra Pradesh (Response),Andhra Pradesh (Score),Arunachal Pradesh (Response),Arunachal Pradesh (Score),Assam (Response),Assam (Score),Bihar (Response),Bihar (Score),Chhatisgarh (Response),Chhatisgarh (Score),Delhi (Response),Delhi (Score),Goa (Response),Goa (Score),Gujarat (Response),Gujarat (Score),Haryana (Response),Haryana (Score),Himachal Pradesh (Response),Himachal Pradesh (Score),Jammu and Kashmir (Response),Jammu and Kashmir (Score),Jharkhand (Response),Jharkhand (Score),Karnataka (Response),Karnataka (Score),Kerala (Response),Kerala (Score),Madhya Pradesh (Response),Madhya Pradesh (Score),Maharashtra (Response),Maharashtra (Score),Manipur (Response),Manipur (Score),Meghalaya (Response),Meghalaya (Score),Mizoram (Response),Mizoram (Score),Nagaland (Response),Nagaland (Score),Odisha (Response),Odisha (Score),Punjab (Response),Punjab (Score),Rajasthan (Response),Rajasthan (Score),Sikkim (Response),Sikkim (Score),Tamil Nadu (Response),Tamil Nadu (Score),Telangana (Response),Telangana (Score),Tripura (Response),Tripura (Score),Uttar Pradesh (Response),Uttar Pradesh (Score),Uttarakhand (Response),Uttarakhand (Score),West Bengal (Response),West Bengal (Score)
"Requirement to give advance intimation before inspection (Yes, No, Maybe, Not Mentioned)","Yes=1, No=0, Not Mentioned=0, Maybe=0.5",Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,May be,,Not Mentioned,0,Not Mentioned,0,No,0,No ,,Yes,1,Not Mentioned,0,Not Mentioned,0,No,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,                                                                                      Not MENTIONED,,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Allowance to conduct special inspections (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Not Mentioned,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5
"Competent authority/authorities for inspecrion- (Director as a sole authority for inspection, Any other authority as the sole authority for inspection (eg -Sub-Inspector, Director of Medical Services or Health Officer, Executive Engineer of the Public Health Engineering Department, The District Transport Officer, State government or Director to authorise a team for inspection (experts on subjects taught in schools; district-level team consisting of nominees from Board, Council, District Inspectors, district level inspectors, accounts perspon, physical education etc, (Nominee of Board, Not mentioned)  ","1. Single / Central Authority (Director as a sole authority for inspection, District Education Officer, Any Other Authority)= 0.2

2. Mid-Level Administrative Authorities (Deputy Director of Education, District Education Officer, District Inspector of Schools, Director, Deputy Director, Joint Director)=0.4

3. Multi-Level Administrative Committees (Divisional Chairman, Education Inspector/Officer, Regional Deputy Director, Deputy Director of Education, Director)=0.6

4. Representative Bodies (Director of Education, Educationists, Civil Society Representatives, Media, Government Representatives, District Inspector, Nominee of Board, Nominee of Council, Nominee of Madrasah)=0.8

5. Discretionary Power/Not Mentioned = 0

6. No Inspection Required=1

",Not Mentioned,0,Not Mentioned ,0,"Central Authority

(Director as a sole authority for inspection)",0.2,Not Mentioned,0,"Mid-Level Administrative Authority

(District Education Officer)",0.4,Not Mentioned,0,Not Mentioned,0,"Discretionary Power

(Any Other Authority)",0,"Discretionary Power

(Any Other Authority)",0,Discretionary Power (Any Other Authority),0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,"Central Authority and Mid-Level Admin Authorities 

(Deputy Director of Education, District Education Officer)",0.2,"Representative Bodies

(Educationists, civil society representatives, media and government representatives)",0.8,"Multi Level Authority, (Divisional Chairman, Education Inspector/Officer, or Regional Deputy Director, Deputy Director of Education, Director)",0.6,"Central Authority, Representative Bodies,  (Director of Education, Educationists, Civil Society Representatives, Media, and Government representatives)",0.2,Not Mentioned,0,Central Authority (Director),0.2,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Central Authority (District Education Officer),0.2,"Central Authority, Mid-Level Admin Authority, (District Inspector of school, Director, Deputy Director, Joint Director)",0.2,Central Authority (Director as a sole authority for inspection),0.2,"Central Authority, Representative Bodies (District Inspector, Nominee of Board, Nominee of Council, Nominee of Madrasah)",0.2
"Mandate on the inspecting authority to furnish an inspection report (Yes, No, Maybe, Unclear, Not Mentioned)","Yes=1 , No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Maybe,0.5,Not Mentioned,0,Yes,1
"Existence of a checklist for inspection (Yes, No, Maybe, Not mentioned)","Yes=1 , No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,No,0,Maybe,0.5,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Yes,1
"Subjects of inspection checklist (infrastructure, financials, fee caps, school results, enrolment and dropout rates, safety equipments, managing committee, teacher appointments, income, expenditure, assets and liabilities, co-curricular, school administration, discipline and tenor, observation of rules and instructions of the government, lack of smooth management by administration, failure to submit-scheme of administration, sanitary conditions, portable drinking water, barrier free access, availability of teaching/learning material, lesson planning, maintenance of adequate reserve fund, total enrolment, records of tests and assignments, performance in Board examinations, run not-for-profit, adheres to Constitutional values, furnishes required reports, is open to inspection, has good road links, has a medical check-up facility, not collecting fees in excess of rates prescribed by govt)

1. Governance & Compliance: Managing committee, School administration, Discipline and tenor, Observation of rules and instructions of the government, Failure to submit scheme of administration, Lack of smooth management by administration, Run not-for-profit, Adheres to Constitutional values, Furnishes required reports, Is open to inspection

2. Financial Management: Financials, Income, Expenditure, Assets and liabilities, Fee caps, Not collecting fees in excess of rates prescribed by govt., Maintenance of adequate reserve fund

3. Academic Quality: School results, Performance in Board examinations, Records of tests and assignments, Lesson planning, Availability of teaching/learning material, Teacher appointments, Co-curricular, Enrolment and dropout rates, Total enrolment

4. Infrastructure: Infrastructure, Safety equipments, Sanitary conditions, Portable drinking water, Barrier free access, Has good road links, Has a medical check-up facility

5. Not Mentioned","Governance & Compliance=, Financial Management=, Academic Quality=, Infrastructure=,
Not Mentioned=0

[1- (Number of Components Present÷ Maximum Number of Components]","Governance & Compliance, Financial Management, Academic Quality",0.25,Not Mentioned,0,Governance & Compliance,0.75,Not Mentioned,0,Governance & Compliance,0.75,"Governance & Compliance, Financial Management, Academic Quality, and Infrastructure.",0,"Governance & Compliance, Financial Management, Academic Quality, and Infrastructure.",0,Not Mentioned,0,"Governance & Compliance, Financial Management, Academic Quality, and Infrastructure.",0,Not Mentioned,0,"Governance & Compliance, Financial Management, Academic Quality, and Infrastructure.",0,Infrastructure,0.75,"Governance & Compliance, Financial Management, Academic Quality, and Infrastructure.",0,"Governance & Compliance, Financial Management, and Infrastructure.",0.25,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,"Governance & Compliance, Financial Management, and Academic Quality.",0.25,"Governance & Compliance, Academic Quality, and Infrastructure.",0.25,"Governance & Compliance, Financial Management",0.5,"Governance & Compliance, Financial Management, Academic Quality, and Infrastructure.",0,"Governance & Compliance, Financial Management, Academic Quality, and Infrastructure.",0,Not Mentioned,0,Governance & Compliance,0.75,Not Mentioned                                                                                                                                                                                                                    ,0,"Governance & Compliance, Financial Management, Academic Quality, and Infrastructure.",0,"Governance & Compliance, Financial Management",0.5,"Governance & Compliance, Financial Management, Academic Quality, and Infrastructure.",0,"Governance & Compliance, Financial Management, and Infrastructure.",0.25,"Governance & Compliance, Financial Management, Academic Quality, and Infrastructure.",0
"Mandated frequency of inspections (Annual, Periodic, Discretion, Not Mentioned)","Annual=1, Periodic=0.66, Discretion=0.33, Not Mentioned=0",Discretion,0.33,Discretion,0.33,Discretion,0.33,Not Mentioned,0,Not Mentioned,0,Annual,1,Annual,1,Periodic,0.66,Discretion,0.33,Discretion,0.33,Discretion,0.33,Discretion,0.33,Not Mentioned,0,Annual,1,Discretion,0.33,Not Mentioned,\,Annual,1,Not Mentioned,0,Annual,1,Not Mentioned,0,Discretion,0.33,Not Mentioned,0,Not Mentioned,0,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned,0,Not Mentioned,0,Discretion,0.33,Discretion,0.33,Discretion ,
"Post-inspection requirements if deficiencies are found (Compliance report, Corrective action, Option to rectify, Not Mentioned)","Compliance Report=0.66, Corrective Action=0.33, Option to Rectify=1, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Option to rectify,1,Option to rectify,1,Option to rectify,1,Option to rectify,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Corrective action,0.33,Option to rectify,1,Option to rectify,1,Option to rectify,1,Corrective action ,,Corrective action,0.33,Option to rectify,1,Not Mentioned,0,Option to rectify,1,Not Mentioned                                                                                                                                                                                                                    ,,Compliance report and corrective action ,,Not Mentioned,0,Option to rectify,1,Option to rectify,1,Corrective action ,
"Opportunity to make a case for itself before passing of an order (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned                                                                                                                                                                                                                    ,,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0
"Existence of consequences if the school fails to satisfy the inspection requirements (Yes, Yes Explicit Listing, No, Maybe, Not mentioned)","Yes=0, Yes Explicit Listing=0.25, No=1, Maybe=0.5, Not Mentioned=0.75",Yes,0,Maybe,0.5,Yes,0,Not Mentioned,0.75,Not Mentioned,0.75,Yes,0,Yes explicit listing,0.25,Yes,0,Not Mentioned,0.75,Not Mentioned,0.75,Not Mentioned,0.75,Not Mentioned,0.75,Not Mentioned,0.75,Not Mentioned,0.75,Yes explicit listing,0.25,Yes explicit listing,0.25,Yes,0,Yes,0,Yes explicit listing ,,Yes,0,Not Mentioned,0.75,Yes explicit listing,0.25,Not Mentioned,0.75,Yes explicit listing ,,Yes,0,Maybe,0.5,Yes,0,Yes,0,Yes,0,Yes,0
"Withdrawal/ Suspension of recognition (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0
"Take over of school property (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",No,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0
"Take over of school management (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0
"Shifting of teaching and non-teaching staff (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0
"Availability of right to appeal against inspection findings  (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",No,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,No ,,No,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned                                                                                                                                                                                                                    ,,Yes,1,Not Mentioned,0,No,0,Not Mentioned,0,Not Mentioned,0
"If the right to appeal is time-bound  (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned                                                                                                                                                                                                                    ,,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Existence of appellate authority  (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,No,0,No ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned                                                                                                                                                                                                                    ,,Maybe,0.5,Not Mentioned,0,No,0,Not Mentioned,0,Not Mentioned,0
"Authority to seize documents or articles during inspection (Yes, No, Maybe, Not Mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,yES,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Processes during Withdrawal of Affiliation ,,,0,,0,,0,,0.5,,0.5,,0,,0,,0,,0.5,,0.5,,0.5,,0.5,,0,,0,,0,,1,,0.5,,0,,0,,0,,0.5,,0,,0,,0,,0,,0,,0.5,,0,,0,,0
Mandate to provide reason for withdrawal of affiliation (Yes/No/Maybe/Not Mentioned),"Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0, Not Mentioned,,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Mandate to issue warning before withdrawal (Yes/No/Maybe/Not Mentioned),"Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,not mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0, Not Mentioned,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Procedure to withdraw previously granted approvals/titles,,,0.3461538462,,0.3653846154,,0.3461538462,,0.2692307692,,0.3461538462,,0.4230769231,,0.2692307692,,0.3846153846,,0.5,,0.03846153846,,0.1153846154,,0.1923076923,,0.1923076923,,0.4230769231,,0.3461538462,,0.5384615385,,0.7692307692,,0.1923076923,,0.4230769231,,0.1923076923,,0.3461538462,,0.2307692308,,0.5384615385,,0.1923076923,,0.5769230769,,0.5769230769,,0.3076923077,,0.3461538462,,0.3076923077,,0.2692307692
"Procedure of withdrawal of permission to establish (Yes, No, Maybe, Not Mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"State authority empowered to withdraw permission and procedure involved (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Maybe ,0.5,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned ,,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Requirement to provide prior notice (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned ,,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Existence of opportunity for the school to be heard (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned ,,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Requirement of a reasoned/written order (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Takeover of property after withdrawal of recognition -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authority empowered to order takeover and procedure involved (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Requirement to provide prior notice (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Existence of Opportunity for the school to be heard (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Requirement of a reasoned/written order (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
" If there are consequences for not following the procedure (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Requirement to pay rent to persons interested in property  (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Takeover of management of schools - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
